posted,neighborhood,post title,number bedrooms,sqft,URL,price
2022-02-21 18:38:00,Oakland Lake Merritt,"Lease Today, Fitness Facility, RoofTop Lounges, Concierge",2.0,933.0,https://sfbay.craigslist.org/eby/apa/d/oakland-lease-today-fitness-facility/7449224397.html,3535
2022-02-21 18:31:00,East Bay Area,"3Bdrm, 2Bath, Duplex + Backyard",3.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-3bdrm-2bath-duplex-backyard/7445403270.html,2695
2022-02-21 18:29:00,East Bay Area,"3Bdrm, 2Bath, Duplex with Backyard",3.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-3bdrm-2bath-duplex-with-backyard/7445401408.html,2895
2022-02-21 18:28:00,East Bay Area,"3Bdrm, 2Bath, Duplex with Backyard",3.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-3bdrm-2bath-duplex-with-backyard/7446159797.html,2895
2022-02-21 18:28:00,East Bay Area,"3Bdrm, 2Bath, Duplex with Backyard",3.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-3bdrm-2bath-duplex-with-backyard/7446506826.html,2895
2022-02-21 18:27:00,Oakland Lake Merritt,"******** STUDIO AT ESSEX ON LAKE MERRITT, DIRECT LAKE VIEW *********",,641.0,https://sfbay.craigslist.org/eby/apa/d/oakland-studio-at-essex-on-lake-merritt/7438824375.html,2200
2022-02-21 18:26:00,Richmond,Rare Point Richmond Rental home by the Bay. Spectacular Views!,2.0,2140.0,https://sfbay.craigslist.org/eby/apa/d/richmond-rare-point-richmond-rental/7449220873.html,4400
2022-02-21 18:24:00,East Bay Area,"4Bdrm, 2.5Bath, Duplex with Backyard",5.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-4bdrm-25bath-duplex-with/7445230968.html,3695
2022-02-21 18:24:00,Oakland North,Longfellow 3.5/1.5 single fam. house 3800 pm,3.0,1700.0,https://sfbay.craigslist.org/eby/apa/d/emeryville-longfellow-single-fam-house/7449220348.html,3800
2022-02-21 18:24:00,East Bay Area,"4Bdrm, 2.5Bath, Duplex with Backyard",5.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-4bdrm-25bath-duplex-with/7446331413.html,3695
2022-02-21 18:23:00,East Bay Area,"4Bdrm, 2Bath, Duplex with Backyard",4.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-4bdrm-2bath-duplex-with-backyard/7445215207.html,3595
2022-02-21 18:23:00,East Bay Area,"4Bdrm, 2Bath, Duplex with Backyard",4.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-4bdrm-2bath-duplex-with-backyard/7445009258.html,3595
